Transaction_ID,Date,Category,Amount_INR,Payment_Method,Merchant,Description,Day_of_Week,Weekend,Month
TXN00853,2026-08-12,Shopping,257.17,UPI,Flipkart,Electronics,Wednesday,No,2026-08
TXN00399,2026-03-09,Subscriptions,125.9,Cash,Netflix,Cloud storage,Monday,No,2026-03
TXN00060,2026-03-25,Food,131.96,UPI,Local Restaurant,Dinner,Wednesday,No,2026-03
TXN00141,2026-04-19,Transport,127.96,UPI,Auto,Daily commute,Sunday,Yes,2026-04
TXN01199,2026-01-28,Transport,107.84,Credit Card,Cab,Ride,Wednesday,No,2026-01
TXN00568,2026-02-24,Groceries,234.01,Debit Card,Local Grocery,Food supplies,Tuesday,No,2026-02
TXN00230,2025-12-07,Transport,141.33,UPI,Bus,Fuel,Sunday,Yes,2025-12
TXN00703,2026-01-23,Entertainment,275.53,Credit Card,Streaming,Game,Friday,No,2026-01
TXN00195,2026-02-27,Food,146.59,UPI,Cafe,Dinner,Friday,No,2026-02
TXN00569,2025-12-09,Entertainment,171.74,UPI,Event,Streaming,Tuesday,No,2025-12
TXN00293,2026-03-13,Food,166.14,Cash,Street Food,Coffee,Friday,No,2026-03
TXN01158,2026-05-15,Food,195.41,Net Banking,Food Delivery,Dinner,Friday,No,2026-05
TXN00169,2026-06-13,Transport,116.64,Debit Card,Fuel Station,Office/College travel,Saturday,Yes,2026-06
TXN01123,2025-09-11,Groceries,631.72,Net Banking,Online Grocery,Household supplies,Thursday,No,2025-09
TXN00876,2025-09-08,Subscriptions,284.11,UPI,Spotify,Software plan,Monday,No,2025-09
TXN00856,2025-11-17,Food,163.37,Credit Card,Local Restaurant,Snacks,Monday,No,2025-11
TXN00680,2026-05-17,Subscriptions,7478.82,Debit Card,Netflix,Cloud storage,Sunday,Yes,2026-05
TXN00589,2025-10-12,Health,189.58,Net Banking,Clinic,Medicine,Sunday,Yes,2025-10
TXN01159,2026-06-29,Food,249.94,UPI,Local Restaurant,Lunch,Monday,No,2026-06
TXN00784,2026-08-07,Subscriptions,257.89,Debit Card,Software,Streaming plan,Friday,No,2026-08
TXN00992,2025-09-01,Health,31.68,Debit Card,Pharmacy,Health checkup,Monday,No,2025-09
TXN00760,2026-05-18,Groceries,257.56,UPI,Supermarket,Household supplies,Monday,No,2026-05
TXN00223,2026-03-22,Groceries,250.82,UPI,Local Grocery,Monthly groceries,Sunday,Yes,2026-03
TXN00323,2026-07-14,Transport,151.06,Cash,Fuel Station,Ride,Tuesday,No,2026-07
TXN00069,2026-03-10,Transport,151.56,UPI,Auto,Daily commute,Tuesday,No,2026-03
TXN00832,2026-06-08,Groceries,565.31,UPI,Supermarket,Supermarket,Monday,No,2026-06
TXN00315,2026-05-22,Health,208.51,Credit Card,Clinic,Treatment,Friday,No,2026-05
TXN00916,2026-01-23,Groceries,463.85,UPI,Online Grocery,Vegetables,Friday,No,2026-01
TXN00233,2026-01-22,Food,252.55,Net Banking,Local Restaurant,Breakfast,Thursday,No,2026-01
TXN00177,2025-12-30,Food,173.81,Debit Card,Food Delivery,Breakfast,Tuesday,No,2025-12
TXN00535,2025-12-23,Transport,135.93,UPI,Bus,Public transport,Tuesday,No,2025-12
TXN01165,2025-09-01,Transport,30.0,Credit Card,Fuel Station,Daily commute,Monday,No,2025-09
TXN00928,2025-10-04,Bills,644.04,UPI,Internet Provider,Internet bill,Saturday,Yes,2025-10
TXN00482,2026-08-23,Food,173.82,Cash,Food Delivery,Dinner,Sunday,Yes,2026-08
TXN00175,2026-04-13,Education,381.79,Credit Card,College Fee,Certification,Monday,No,2026-04
TXN00780,2026-05-13,Travel,833.89,Debit Card,Hotel,Hotel booking,Wednesday,No,2026-05
TXN01001,2026-05-17,Shopping,304.65,Debit Card,Amazon,Clothes,Sunday,Yes,2026-05
TXN00358,2026-07-20,Subscriptions,212.74,Credit Card,Spotify,Streaming plan,Monday,No,2026-07
TXN00027,2026-05-11,Food,185.52,Debit Card,Cafe,Coffee,Monday,No,2026-05
TXN00510,2025-12-10,Food,245.36,Credit Card,Local Restaurant,Lunch,Wednesday,No,2025-12
TXN00947,2025-11-09,Health,274.61,UPI,Hospital,Treatment,Sunday,Yes,2025-11
TXN01124,2026-05-12,Shopping,382.85,UPI,Amazon,Online purchase,Tuesday,No,2026-05
TXN00298,2026-02-08,Bills,382.34,Cash,Water Bill,Utility payment,Sunday,Yes,2026-02
TXN00313,2026-08-31,Education,230.18,UPI,Learning Platform,Certification,Monday,No,2026-08
TXN00300,2026-06-16,Entertainment,115.53,Credit Card,Gaming,Movie,Tuesday,No,2026-06
TXN00988,2025-09-20,Subscriptions,225.58,Net Banking,Software,Cloud storage,Saturday,Yes,2025-09
TXN00045,2025-09-21,Groceries,612.26,Credit Card,Supermarket,Household supplies,Sunday,Yes,2025-09
TXN00550,2026-03-09,Bills,549.27,UPI,Water Bill,Internet bill,Monday,No,2026-03
TXN00398,2025-11-02,Bills,590.55,UPI,Water Bill,Mobile recharge,Sunday,Yes,2025-11
TXN00969,2025-09-04,Food,225.96,Credit Card,Local Restaurant,Dinner,Thursday,No,2025-09
TXN00687,2026-02-03,Transport,47.75,UPI,Metro,Public transport,Tuesday,No,2026-02
TXN00179,2026-04-21,Subscriptions,292.86,UPI,Spotify,Software plan,Tuesday,No,2026-04
TXN00793,2025-12-07,Education,325.6,UPI,Online Course,Study material,Sunday,Yes,2025-12
TXN00981,2026-01-11,Food,134.37,UPI,Food Delivery,Lunch,Sunday,Yes,2026-01
TXN00657,2025-10-14,Health,221.86,Net Banking,Diagnostic Center,Treatment,Tuesday,No,2025-10
TXN00113,2026-07-25,Food,219.21,UPI,Food Delivery,Breakfast,Saturday,Yes,2026-07
TXN00044,2026-01-13,Food,149.93,Credit Card,Street Food,Breakfast,Tuesday,No,2026-01
TXN00566,2026-03-06,Bills,688.18,UPI,Water Bill,Mobile recharge,Friday,No,2026-03
TXN00172,2026-08-14,Subscriptions,227.45,Cash,Software,Monthly subscription,Friday,No,2026-08
TXN00989,2025-12-22,Groceries,470.18,Credit Card,Local Grocery,Household supplies,Monday,No,2025-12
TXN00024,2026-02-08,Bills,276.15,UPI,Internet Provider,Water bill,Sunday,Yes,2026-02
TXN01141,2026-07-13,Food,267.94,UPI,Local Restaurant,Breakfast,Monday,No,2026-07
TXN00879,2026-05-11,Subscriptions,214.98,Credit Card,Spotify,Monthly subscription,Monday,No,2026-05
TXN00658,2026-02-20,Bills,248.29,UPI,Electricity Board,Electricity bill,Friday,No,2026-02
TXN00153,2026-02-07,Transport,109.32,UPI,Cab,Ride,Saturday,Yes,2026-02
TXN00057,2025-12-01,Transport,76.57,UPI,Auto,Fuel,Monday,No,2025-12
TXN00906,2025-12-28,Bills,574.73,UPI,Mobile Provider,Internet bill,Sunday,Yes,2025-12
TXN00282,2025-11-14,Subscriptions,236.76,UPI,Spotify,Monthly subscription,Friday,No,2025-11
TXN01145,2026-01-11,Food,268.32,Debit Card,Street Food,Breakfast,Sunday,Yes,2026-01
TXN00756,2025-09-01,Entertainment,226.02,Cash,Movie Theatre,Game,Monday,No,2025-09
TXN00649,2025-09-01,Shopping,36.02,Credit Card,Clothing Store,Electronics,Monday,No,2025-09
TXN00013,2025-12-09,Food,199.65,Debit Card,Food Delivery,Lunch,Tuesday,No,2025-12
TXN00050,2026-07-13,Transport,139.85,Debit Card,Auto,Public transport,Monday,No,2026-07
TXN00648,2026-08-27,Education,203.93,UPI,College Fee,Course fee,Thursday,No,2026-08
TXN00255,2026-01-29,Transport,88.56,Debit Card,Fuel Station,Fuel,Thursday,No,2026-01
TXN00159,2025-11-05,Subscriptions,246.52,UPI,Software,Monthly subscription,Wednesday,No,2025-11
TXN01188,2026-02-26,Subscriptions,211.83,Credit Card,Software,Monthly subscription,Thursday,No,2026-02
TXN00606,2025-09-07,Food,249.0,Cash,Cafe,Snacks,Sunday,Yes,2025-09
TXN00390,2026-08-20,Shopping,396.05,Debit Card,Clothing Store,Electronics,Thursday,No,2026-08
TXN00402,2026-07-11,Groceries,156.85,Credit Card,Online Grocery,Household supplies,Saturday,Yes,2026-07
TXN01096,2025-12-27,Groceries,75.23,UPI,Supermarket,Food supplies,Saturday,Yes,2025-12
TXN01036,2026-05-25,Entertainment,233.47,UPI,Movie Theatre,Leisure,Monday,No,2026-05
TXN00212,2026-04-12,Entertainment,189.2,Cash,Streaming,Leisure,Sunday,Yes,2026-04
TXN00200,2026-06-22,Transport,85.77,UPI,Metro,Office/College travel,Monday,No,2026-06
TXN00125,2026-04-15,Transport,124.34,Cash,Bus,Fuel,Wednesday,No,2026-04
TXN00869,2026-07-16,Health,118.11,UPI,Pharmacy,Doctor visit,Thursday,No,2026-07
TXN00288,2025-12-21,Shopping,395.2,UPI,Amazon,Household item,Sunday,Yes,2025-12
TXN00085,2026-08-04,Shopping,415.64,UPI,Amazon,Clothes,Tuesday,No,2026-08
TXN00208,2026-01-08,Food,146.15,Net Banking,Cafe,Breakfast,Thursday,No,2026-01
TXN00754,2025-11-24,Food,163.93,UPI,Food Delivery,Dinner,Monday,No,2025-11
TXN00450,2025-12-05,Food,157.88,UPI,Street Food,Lunch,Friday,No,2025-12
TXN00742,2025-09-06,Shopping,353.47,UPI,Flipkart,Clothes,Saturday,Yes,2025-09
TXN00066,2025-12-15,Groceries,409.96,UPI,Online Grocery,Food supplies,Monday,No,2025-12
TXN01169,2026-07-06,Food,197.38,UPI,Food Delivery,Dinner,Monday,No,2026-07
TXN00555,2025-09-13,Transport,97.61,Cash,Cab,Public transport,Saturday,Yes,2025-09
TXN00126,2025-12-10,Shopping,2860.2,Cash,Amazon,Online purchase,Wednesday,No,2025-12
TXN00709,2025-10-05,Food,153.11,Cash,Food Delivery,Breakfast,Sunday,Yes,2025-10
TXN00803,2026-05-05,Entertainment,207.5,Debit Card,Event,Game,Tuesday,No,2026-05
TXN01078,2025-09-15,Entertainment,251.22,UPI,Event,Movie,Monday,No,2025-09
TXN00541,2026-08-23,Food,288.57,Net Banking,Local Restaurant,Dinner,Sunday,Yes,2026-08
TXN00095,2025-11-04,Food,252.69,Debit Card,Street Food,Coffee,Tuesday,No,2025-11
TXN00250,2025-10-09,Transport,110.66,Credit Card,Bus,Daily commute,Thursday,No,2025-10
TXN00354,2026-06-08,Health,206.23,UPI,Hospital,Medicine,Monday,No,2026-06
TXN00626,2026-01-10,Food,201.26,Credit Card,Local Restaurant,Breakfast,Saturday,Yes,2026-01
TXN00838,2026-02-07,Shopping,300.87,Debit Card,Local Store,Clothes,Saturday,Yes,2026-02
TXN00748,2025-09-23,Shopping,213.55,UPI,Local Store,Household item,Tuesday,No,2025-09
TXN00397,2026-03-05,Groceries,507.38,UPI,Online Grocery,Food supplies,Thursday,No,2026-03
TXN00962,2026-04-17,Travel,83.67,UPI,Travel Agency,Train ticket,Friday,No,2026-04
TXN00792,2026-07-03,Shopping,194.21,Credit Card,Flipkart,Electronics,Friday,No,2026-07
TXN01128,2026-01-12,Shopping,262.87,Cash,Amazon,Clothes,Monday,No,2026-01
TXN00023,2026-06-04,Entertainment,128.32,UPI,Movie Theatre,Game,Thursday,No,2026-06
TXN00292,2026-08-04,Bills,381.31,UPI,Electricity Board,Mobile recharge,Tuesday,No,2026-08
TXN00407,2026-02-17,Food,212.63,UPI,Local Restaurant,Breakfast,Tuesday,No,2026-02
TXN00979,2026-02-20,Health,262.62,UPI,Pharmacy,Treatment,Friday,No,2026-02
TXN00183,2026-01-15,Subscriptions,185.28,Cash,Cloud Storage,Monthly subscription,Thursday,No,2026-01
TXN00222,2026-07-21,Subscriptions,175.75,UPI,Cloud Storage,Music plan,Tuesday,No,2026-07
TXN00369,2025-12-13,Transport,149.41,UPI,Cab,Office/College travel,Saturday,Yes,2025-12
TXN00717,2026-06-13,Health,274.39,Credit Card,Diagnostic Center,Health checkup,Saturday,Yes,2026-06
TXN00934,2025-12-10,Subscriptions,162.15,UPI,Cloud Storage,Music plan,Wednesday,No,2025-12
TXN00651,2026-03-09,Transport,86.04,UPI,Cab,Public transport,Monday,No,2026-03
TXN01087,2026-05-12,Entertainment,247.85,Debit Card,Movie Theatre,Streaming,Tuesday,No,2026-05
TXN01134,2026-08-29,Bills,168.12,Debit Card,Internet Provider,Water bill,Saturday,Yes,2026-08
TXN01156,2026-04-02,Education,215.04,UPI,Book Store,Course fee,Thursday,No,2026-04
TXN01120,2026-06-10,Groceries,536.05,UPI,Supermarket,Monthly groceries,Wednesday,No,2026-06
TXN00728,2026-02-24,Food,171.76,UPI,Cafe,Lunch,Tuesday,No,2026-02
TXN01184,2025-09-17,Food,151.58,UPI,Food Delivery,Snacks,Wednesday,No,2025-09
TXN00684,2026-04-12,Food,131.8,Cash,Local Restaurant,Coffee,Sunday,Yes,2026-04
TXN00615,2025-09-29,Food,188.54,UPI,Food Delivery,Snacks,Monday,No,2025-09
TXN00528,2026-05-22,Groceries,6513.94,Credit Card,Local Grocery,Food supplies,Friday,No,2026-05
TXN00249,2026-01-06,Subscriptions,173.1,UPI,Spotify,Streaming plan,Tuesday,No,2026-01
TXN00262,2025-12-21,Subscriptions,48.27,UPI,Netflix,Software plan,Sunday,Yes,2025-12
TXN00392,2026-06-15,Transport,30.0,Net Banking,Auto,Public transport,Monday,No,2026-06
TXN00973,2025-12-03,Transport,175.48,Debit Card,Auto,Daily commute,Wednesday,No,2025-12
TXN00618,2026-01-14,Education,303.06,UPI,College Fee,Certification,Wednesday,No,2026-01
TXN00121,2026-02-19,Food,195.78,UPI,Local Restaurant,Coffee,Thursday,No,2026-02
TXN00877,2025-12-22,Food,153.9,Debit Card,Local Restaurant,Breakfast,Monday,No,2025-12
TXN01112,2026-02-20,Transport,101.46,UPI,Bus,Office/College travel,Friday,No,2026-02
TXN00408,2026-07-23,Food,203.23,Net Banking,Food Delivery,Coffee,Thursday,No,2026-07
TXN00226,2026-05-13,Travel,30.0,Credit Card,Train,Hotel booking,Wednesday,No,2026-05
TXN00349,2026-02-08,Transport,148.53,Debit Card,Fuel Station,Daily commute,Sunday,Yes,2026-02
TXN00277,2026-01-30,Food,8760.53,Cash,Local Restaurant,Snacks,Friday,No,2026-01
TXN00186,2026-04-13,Bills,268.22,Debit Card,Water Bill,Utility payment,Monday,No,2026-04
TXN00356,2025-10-24,Groceries,139.58,Net Banking,Local Grocery,Supermarket,Friday,No,2025-10
TXN00274,2026-07-01,Entertainment,253.53,UPI,Movie Theatre,Game,Wednesday,No,2026-07
TXN00624,2026-04-05,Education,93.08,Debit Card,Learning Platform,College expense,Sunday,Yes,2026-04
TXN00963,2025-10-06,Shopping,233.96,Net Banking,Amazon,Accessories,Monday,No,2025-10
TXN01173,2025-12-26,Groceries,284.79,UPI,Online Grocery,Household supplies,Friday,No,2025-12
TXN00571,2025-11-15,Food,172.09,Debit Card,Cafe,Coffee,Saturday,Yes,2025-11
TXN00643,2026-04-08,Entertainment,239.54,Credit Card,Gaming,Event ticket,Wednesday,No,2026-04
TXN00170,2026-07-28,Bills,600.19,Net Banking,Electricity Board,Electricity bill,Tuesday,No,2026-07
TXN00342,2026-02-28,Shopping,349.75,UPI,Flipkart,Accessories,Saturday,Yes,2026-02
TXN00290,2026-01-31,Transport,95.62,UPI,Cab,Office/College travel,Saturday,Yes,2026-01
TXN00824,2026-05-07,Bills,371.1,Net Banking,Internet Provider,Mobile recharge,Thursday,No,2026-05
TXN00012,2025-11-27,Travel,30.0,Debit Card,Flight,Travel booking,Thursday,No,2025-11
TXN00205,2026-03-06,Groceries,361.54,UPI,Online Grocery,Supermarket,Friday,No,2026-03
TXN00318,2026-04-14,Groceries,573.81,UPI,Supermarket,Monthly groceries,Tuesday,No,2026-04
TXN00166,2025-12-17,Education,338.14,Debit Card,Book Store,College expense,Wednesday,No,2025-12
TXN00881,2026-03-26,Food,183.42,Net Banking,Street Food,Lunch,Thursday,No,2026-03
TXN00610,2026-02-17,Education,394.17,Credit Card,Online Course,Certification,Tuesday,No,2026-02
TXN00273,2026-01-25,Transport,68.22,Debit Card,Bus,Public transport,Sunday,Yes,2026-01
TXN01167,2025-10-25,Bills,463.44,Credit Card,Mobile Provider,Internet bill,Saturday,Yes,2025-10
TXN00516,2025-10-13,Groceries,339.39,UPI,Supermarket,Supermarket,Monday,No,2025-10
TXN00377,2026-08-21,Food,83.89,UPI,Food Delivery,Lunch,Friday,No,2026-08
TXN00469,2026-04-08,Transport,98.52,Cash,Auto,Ride,Wednesday,No,2026-04
TXN00995,2026-07-17,Groceries,716.91,Debit Card,Online Grocery,Vegetables,Friday,No,2026-07
TXN00581,2025-09-25,Transport,71.1,Credit Card,Metro,Daily commute,Thursday,No,2025-09
TXN00075,2026-08-17,Entertainment,207.08,UPI,Event,Event ticket,Monday,No,2026-08
TXN00040,2026-05-02,Transport,150.2,UPI,Fuel Station,Public transport,Saturday,Yes,2026-05
TXN00194,2026-04-21,Food,188.76,Cash,Cafe,Coffee,Tuesday,No,2026-04
TXN00688,2025-09-08,Transport,121.19,UPI,,Office/College travel,Monday,No,2025-09
TXN00936,2026-02-27,Transport,121.48,UPI,Cab,Daily commute,Friday,No,2026-02
TXN00037,2025-10-21,Travel,784.44,Credit Card,Flight,Hotel booking,Tuesday,No,2025-10
TXN00204,2025-11-20,Health,318.81,UPI,Clinic,Medicine,Thursday,No,2025-11
TXN00120,2025-12-08,Travel,730.81,UPI,Flight,Hotel booking,Monday,No,2025-12
TXN00970,2026-08-01,Food,273.98,UPI,Cafe,Dinner,Saturday,Yes,2026-08
TXN00388,2026-01-21,Transport,104.71,Net Banking,Auto,Office/College travel,Wednesday,No,2026-01
TXN00823,2025-12-20,Subscriptions,141.73,Cash,Software,Monthly subscription,Saturday,Yes,2025-12
TXN00804,2025-12-15,Health,213.68,UPI,Hospital,Medicine,Monday,No,2025-12
TXN00828,2025-12-04,Subscriptions,238.08,Credit Card,Spotify,Monthly subscription,Thursday,No,2025-12
TXN00119,2026-06-20,Food,203.13,UPI,Cafe,Snacks,Saturday,Yes,2026-06
TXN00115,2025-10-03,Shopping,275.17,Debit Card,Local Store,Electronics,Friday,No,2025-10
TXN00185,2026-02-12,Subscriptions,162.78,Debit Card,Software,Cloud storage,Thursday,No,2026-02
TXN00952,2026-07-15,Travel,233.13,UPI,Travel Agency,Hotel booking,Wednesday,No,2026-07
TXN00133,2026-06-10,Travel,30.0,UPI,Train,Flight ticket,Wednesday,No,2026-06
TXN00848,2026-07-23,Bills,408.81,Cash,Water Bill,Water bill,Thursday,No,2026-07
TXN00500,2026-08-02,Food,159.74,Credit Card,Cafe,Dinner,Sunday,Yes,2026-08
TXN00033,2026-03-07,Health,334.8,Debit Card,Pharmacy,Medicine,Saturday,Yes,2026-03
TXN00375,2026-05-05,Education,204.69,UPI,Learning Platform,Certification,Tuesday,No,2026-05
TXN00570,2026-04-21,Groceries,119.95,UPI,Online Grocery,Food supplies,Tuesday,No,2026-04
TXN00620,2026-07-18,Education,378.06,Cash,Online Course,Study material,Saturday,Yes,2026-07
TXN00384,2025-09-20,Subscriptions,225.17,Cash,Spotify,Cloud storage,Saturday,Yes,2025-09
TXN00975,2026-03-13,Food,140.93,Cash,Cafe,Snacks,Friday,No,2026-03
TXN01038,2026-04-17,Bills,434.76,UPI,Mobile Provider,Mobile recharge,Friday,No,2026-04
TXN00706,2026-04-08,Bills,503.17,Credit Card,Electricity Board,Internet bill,Wednesday,No,2026-04
TXN00951,2026-07-28,Food,201.31,UPI,Food Delivery,Lunch,Tuesday,No,2026-07
TXN00794,2026-08-04,Groceries,420.25,Net Banking,Online Grocery,Monthly groceries,Tuesday,No,2026-08
TXN00740,2025-12-08,Entertainment,91.99,Cash,Event,Event ticket,Monday,No,2025-12
TXN01011,2025-11-23,Transport,153.31,Net Banking,Metro,Ride,Sunday,Yes,2025-11
TXN01030,2026-06-23,Travel,1223.69,UPI,Hotel,Trip expense,Tuesday,No,2026-06
TXN00285,2026-08-06,Education,508.69,Credit Card,College Fee,College expense,Thursday,No,2026-08
TXN00478,2025-12-09,Travel,1043.48,UPI,Travel Agency,Train ticket,Tuesday,No,2025-12
TXN00072,2026-02-09,Transport,121.4,UPI,Cab,Fuel,Monday,No,2026-02
TXN00470,2025-11-08,Groceries,371.73,UPI,Online Grocery,Food supplies,Saturday,Yes,2025-11
TXN00325,2026-01-25,Food,175.17,Credit Card,Cafe,Lunch,Sunday,Yes,2026-01
TXN00592,2025-12-31,Bills,406.33,UPI,Water Bill,Internet bill,Wednesday,No,2025-12
TXN00968,2025-11-14,Food,154.59,Debit Card,Street Food,Lunch,Friday,No,2025-11
TXN01187,2026-05-09,Travel,634.87,UPI,Hotel,Flight ticket,Saturday,Yes,2026-05
TXN01081,2026-06-16,Education,111.9,UPI,College Fee,College expense,Tuesday,No,2026-06
TXN00596,2026-04-09,Food,274.03,Debit Card,Street Food,Breakfast,Thursday,No,2026-04
TXN00580,2025-12-08,Subscriptions,219.04,Credit Card,Software,Cloud storage,Monday,No,2025-12
TXN00476,2026-08-07,Health,113.5,Debit Card,Clinic,Health checkup,Friday,No,2026-08
TXN00128,2026-05-15,Transport,176.5,UPI,Metro,Office/College travel,Friday,No,2026-05
TXN00147,2026-04-25,Education,214.25,Debit Card,Online Course,College expense,Saturday,Yes,2026-04
TXN00573,2026-06-11,Transport,110.73,UPI,Cab,Office/College travel,Thursday,No,2026-06
TXN00690,2026-08-14,Entertainment,173.48,UPI,Event,Event ticket,Friday,No,2026-08
TXN00061,2025-11-20,Food,181.09,Credit Card,Local Restaurant,Snacks,Thursday,No,2025-11
TXN00941,2026-08-31,Food,187.88,UPI,Cafe,Snacks,Monday,No,2026-08
TXN00736,2026-06-10,Food,198.97,UPI,Cafe,Snacks,Wednesday,No,2026-06
TXN00847,2025-09-22,Subscriptions,220.04,UPI,Software,Software plan,Monday,No,2025-09
TXN00960,2025-10-01,Food,182.47,Cash,Food Delivery,Snacks,Wednesday,No,2025-10
TXN01009,2026-02-15,Groceries,237.99,UPI,Supermarket,Supermarket,Sunday,Yes,2026-02
TXN00602,2025-09-09,Food,163.91,UPI,Cafe,Coffee,Tuesday,No,2025-09
TXN00572,2026-05-23,Food,254.77,Debit Card,Local Restaurant,Breakfast,Saturday,Yes,2026-05
TXN00461,2026-08-15,Food,148.74,Credit Card,Street Food,Breakfast,Saturday,Yes,2026-08
TXN01146,2026-06-20,Food,180.17,UPI,Food Delivery,Coffee,Saturday,Yes,2026-06
TXN00103,2026-01-17,Education,155.41,UPI,Online Course,Course fee,Saturday,Yes,2026-01
TXN01006,2026-01-16,Transport,88.1,UPI,Metro,Office/College travel,Friday,No,2026-01
TXN00912,2025-11-25,Food,148.96,Debit Card,Food Delivery,Lunch,Tuesday,No,2025-11
TXN00162,2025-11-01,Entertainment,166.49,UPI,Streaming,Game,Saturday,Yes,2025-11
TXN00372,2026-02-23,Bills,647.15,Credit Card,Internet Provider,Internet bill,Monday,No,2026-02
TXN00522,2026-05-11,Food,139.41,UPI,Cafe,Lunch,Monday,No,2026-05
TXN00509,2026-02-26,Subscriptions,148.27,UPI,Spotify,Software plan,Thursday,No,2026-02
TXN00531,2025-12-24,Subscriptions,141.91,Debit Card,Software,Music plan,Wednesday,No,2025-12
TXN00667,2026-05-10,Entertainment,108.1,UPI,Movie Theatre,Streaming,Sunday,Yes,2026-05
TXN01178,2025-09-25,Groceries,243.84,Net Banking,Online Grocery,Household supplies,Thursday,No,2025-09
TXN00317,2025-09-27,Food,168.35,Debit Card,Cafe,Lunch,Saturday,Yes,2025-09
TXN00560,2026-06-13,Education,65.2,UPI,College Fee,Certification,Saturday,Yes,2026-06
TXN00376,2025-09-26,Transport,158.11,UPI,Auto,Ride,Friday,No,2025-09
TXN00388,2026-01-21,Transport,104.71,Net Banking,Auto,Office/College travel,Wednesday,No,2026-01
TXN00670,2026-04-15,Groceries,479.03,Cash,Local Grocery,Monthly groceries,Wednesday,No,2026-04
TXN00303,2026-01-13,Education,102.5,UPI,College Fee,Books,Tuesday,No,2026-01
TXN00490,2026-02-27,Bills,586.72,Debit Card,Electricity Board,Mobile recharge,Friday,No,2026-02
TXN00319,2026-06-04,Groceries,428.53,UPI,Supermarket,Monthly groceries,Thursday,No,2026-06
TXN00366,2026-01-05,Groceries,298.25,Cash,Supermarket,Household supplies,Monday,No,2026-01
TXN00496,2026-07-22,Education,249.43,UPI,Book Store,College expense,Wednesday,No,2026-07
TXN00597,2026-04-23,Transport,53.73,Cash,Fuel Station,Public transport,Thursday,No,2026-04
TXN01073,2026-03-17,Subscriptions,215.76,UPI,Software,Cloud storage,Tuesday,No,2026-03
TXN00524,2025-10-05,Health,366.31,Debit Card,Pharmacy,Health checkup,Sunday,Yes,2025-10
TXN00691,2026-02-11,Transport,122.17,UPI,Fuel Station,Public transport,Wednesday,No,2026-02
TXN00590,2026-03-05,Groceries,415.29,Credit Card,Local Grocery,Supermarket,Thursday,No,2026-03
TXN00567,2025-09-19,Groceries,125.87,Cash,Supermarket,Monthly groceries,Friday,No,2025-09
TXN00472,2025-12-03,Groceries,228.6,Cash,Online Grocery,Monthly groceries,Wednesday,No,2025-12
TXN00977,2026-03-22,Transport,30.0,Cash,Bus,Public transport,Sunday,Yes,2026-03
TXN01027,2025-11-15,Food,152.79,Cash,Local Restaurant,Dinner,Saturday,Yes,2025-11
TXN00814,2025-11-08,Shopping,182.0,UPI,Flipkart,Accessories,Saturday,Yes,2025-11
TXN00708,2025-10-16,Entertainment,159.88,UPI,Movie Theatre,Streaming,Thursday,No,2025-10
TXN00394,2026-08-08,Food,188.76,UPI,Cafe,Dinner,Saturday,Yes,2026-08
TXN00983,2025-12-27,Health,99.69,UPI,Clinic,Health checkup,Saturday,Yes,2025-12
TXN01084,2025-10-08,Shopping,146.2,Debit Card,Clothing Store,Online purchase,Wednesday,No,2025-10
TXN00539,2026-05-07,Shopping,30.0,Cash,Flipkart,Electronics,Thursday,No,2026-05
TXN00806,2025-11-20,Groceries,243.81,UPI,Local Grocery,Supermarket,Thursday,No,2025-11
TXN01062,2026-08-19,Food,170.19,Debit Card,,Dinner,Wednesday,No,2026-08
TXN00207,2025-09-02,Transport,99.18,UPI,Fuel Station,Ride,Tuesday,No,2025-09
TXN00990,2026-01-18,Transport,101.79,UPI,Cab,Daily commute,Sunday,Yes,2026-01
TXN01039,2026-05-28,Transport,126.0,Debit Card,Fuel Station,Fuel,Thursday,No,2026-05
TXN00225,2026-01-01,Shopping,43.62,Cash,Amazon,Household item,Thursday,No,2026-01
TXN00976,2026-08-01,Subscriptions,217.42,UPI,Netflix,Streaming plan,Saturday,Yes,2026-08
TXN00584,2026-01-22,Food,231.31,UPI,Street Food,Lunch,Thursday,No,2026-01
TXN00617,2026-08-05,Education,368.14,UPI,Online Course,Study material,Wednesday,No,2026-08
TXN00334,2025-10-16,Transport,127.53,Cash,Metro,Fuel,Thursday,No,2025-10
TXN01190,2026-01-30,Education,268.57,UPI,Learning Platform,Course fee,Friday,No,2026-01
TXN00056,2026-08-06,Food,161.84,UPI,Food Delivery,Breakfast,Thursday,No,2026-08
TXN00594,2026-02-10,Education,324.28,UPI,Book Store,Course fee,Tuesday,No,2026-02
TXN00065,2025-10-24,Shopping,132.51,UPI,Amazon,Clothes,Friday,No,2025-10
TXN00423,2026-08-21,Transport,82.27,Credit Card,Bus,Public transport,Friday,No,2026-08
TXN00537,2026-04-05,Bills,378.85,UPI,Mobile Provider,Mobile recharge,Sunday,Yes,2026-04
TXN00364,2026-08-08,Transport,97.99,UPI,Bus,Public transport,Saturday,Yes,2026-08
TXN00653,2026-07-09,Transport,41.05,UPI,Metro,Ride,Thursday,No,2026-07
TXN00678,2025-09-01,Groceries,291.09,Net Banking,Online Grocery,Monthly groceries,Monday,No,2025-09
TXN00743,2026-03-16,Entertainment,216.62,UPI,Streaming,Movie,Monday,No,2026-03
